CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1121	3869	4	0.8887	-100.050
9309	14243	4	0.7045	19.969
2921	3711	4	0.8948	0.001
8065	12488	4	0.7751	-16.956
1667	10234	4	0.9047	17.027
12693	16826	4	0.7638	88.052
1121	1667	4	0.9381	-77.048
635	1741	4	0.7936	-33.983
1121	5241	4	0.902	-119.094
10234	10819	4	0.9219	60.022
1391	12467	4	0.91	17.027
322	5869	4	0.9137	-15.012
13365	14456	4	0.9414	-0.001
10671	12911	4	0.8477	77.048
1667	4777	4	0.9449	17.026
2397	6545	4	0.866	-77.047
1574	14243	4	0.7065	-42.046
1391	10819	4	0.8892	139.064
1574	12488	4	0.7345	-44.986
8065	12965	4	0.8345	14.016
5105	13365	4	0.8078	60.021
4777	10234	4	0.9179	0.000
2921	13626	4	0.8831	-2.015
635	13268	4	0.8025	-17.027
505	8038	4	0.8149	100.051
2397	10671	4	0.8468	-17.027
3869	15791	4	0.8882	100.051
1574	16826	4	0.7027	77.049
5105	12693	4	0.8369	-28.030
1667	5869	4	0.9338	-40.031
9309	12488	4	0.7333	17.029
1667	10819	4	0.9474	77.048
5869	15791	4	0.914	117.079
758	3310	4	0.9009	0.000
2397	14456	4	0.7919	18.010
1982	11214	4	0.7583	-0.059
2124	8065	4	0.7278	-165.100
10819	12467	4	0.9044	-122.037
12965	16826	4	0.7547	91.063
3711	13626	4	0.8513	-2.016
8065	9309	4	0.7405	-33.984
10234	13365	4	0.863	2.016
322	12467	4	0.8992	-19.970
635	4309	4	0.8358	11.005
3869	5241	4	0.9252	-19.043
1391	3869	4	0.9132	39.013
6237	12658	4	0.7985	-60.021
5241	15791	4	0.9088	119.094
6237	11334	4	0.7695	-77.048
505	3509	4	0.846	40.031
1121	10819	4	0.9566	0.001
5105	12658	4	0.7593	-15.994
3869	4777	4	0.9112	40.029
13268	15461	4	0.8541	-33.984
1121	10234	4	0.9207	-60.021
6545	7471	4	0.8184	60.020
10234	15791	4	0.9203	60.021
5241	5869	4	0.9362	2.015
1121	4777	4	0.9197	-60.021
3790	11334	4	0.7146	-95.060
5241	10819	4	0.9135	119.095
6545	11334	4	0.8047	2.015
5105	8065	4	0.7783	-45.057
6545	13365	4	0.7913	95.057
1741	15461	4	0.8165	-17.028
5241	12467	4	0.9251	-2.943
4309	13268	4	0.8383	-28.031
3509	15461	4	0.8787	-79.042
5105	12965	4	0.7941	-31.041
2921	3013	4	0.8464	0.001
5105	14456	4	0.7971	60.021
13245	13365	4	0.8485	-60.022
322	1391	4	0.8911	-36.997
6545	12911	4	0.8497	137.068
