structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q105000190,345.1332644,0,"6-hydroxy-1-(4-methoxycinnamoyl)-2,3,4-Trimethoxy-benzene",C19H20O6
http://www.wikidata.org/entity/Q105152346,345.1332644,0,"2-(2,3-Dimethoxyphenyl)-5,7-dimethoxy-2,3-dihydrochromen-4-one",C19H20O6
http://www.wikidata.org/entity/Q105204324,345.1332644,0,"7-[(E,4S)-4-hydroxy-3-methyl-4-[(2S,4R)-4-methyl-5-oxooxolan-2-yl]but-2-enoxy]chromen-2-one",C19H20O6
http://www.wikidata.org/entity/Q105219394,345.1332644,0,"7-[(E)-4-[(2R,4R)-4-hydroxy-4-methyl-5-oxooxolan-2-yl]-3-methylbut-2-enoxy]chromen-2-one",C19H20O6
http://www.wikidata.org/entity/Q105378933,345.1332644,0,Tetramethoxy-flavanon,C19H20O6
http://www.wikidata.org/entity/Q105386291,345.1332644,0,"7-[[(2S,3S)-3-methyl-3-[[(2S,4R)-4-methyl-5-oxooxolan-2-yl]methyl]oxiran-2-yl]methoxy]chromen-2-one",C19H20O6
http://www.wikidata.org/entity/Q105386292,345.1332644,0,Excavacoumarin A,C19H20O6
http://www.wikidata.org/entity/Q104945579,345.0968789,0,"3-Hydroxy-2-(3-hydroxy-4-methoxyphenyl)-5,7-dimethoxychromen-4-one",C18H16O7
http://www.wikidata.org/entity/Q27151381,345.0968789,0,Obtusin,C18H16O7
http://www.wikidata.org/entity/Q83110022,345.0968789,0,"4H-1-Benzopyran-4-one, 6,7-dihydroxy-2-(3,4,5-trimethoxyphenyl)-",C18H16O7
http://www.wikidata.org/entity/Q7420435,345.0968789,0,Santin,C18H16O7
http://www.wikidata.org/entity/Q27108377,345.0968789,0,Tambulin,C18H16O7
http://www.wikidata.org/entity/Q3060386,345.0968789,0,Eupatorin,C18H16O7
http://www.wikidata.org/entity/Q3277926,345.0968789,0,Ayanin,C18H16O7
http://www.wikidata.org/entity/Q3036425,345.0968789,0,Pachypodol,C18H16O7
http://www.wikidata.org/entity/Q27107527,345.0968789,0,Nevadensin,C18H16O7
http://www.wikidata.org/entity/Q27138366,345.0968789,0,"Quercetin 7,3',4'-trimethyl ether",C18H16O7
http://www.wikidata.org/entity/Q105248915,345.0968789,0,"2alpha-(1,3-Benzodioxole-5-yl)-2,3-dihydro-3beta-(hydroxymethyl)-7-methoxybenzofuran-5-carboxylic acid",C18H16O7
http://www.wikidata.org/entity/Q27116387,345.0968789,0,Xanthomicrol,C18H16O7
http://www.wikidata.org/entity/Q104397257,345.0968789,0,Mikanin,C18H16O7
http://www.wikidata.org/entity/Q15634189,345.0968789,0,Cirsilineol,C18H16O7
http://www.wikidata.org/entity/Q72499642,345.0968789,0,Penduletin,C18H16O7
http://www.wikidata.org/entity/Q5931666,345.0816227,0,Theogallin,C14H16O10
http://www.wikidata.org/entity/Q104393038,345.0816227,0,"(1R,4S)-1,3,4-trihydroxy-5-(3,4,5-trihydroxybenzoyl)oxy-cyclohexanecarboxylic acid",C14H16O10
http://www.wikidata.org/entity/Q27105446,345.0604933,0,"2,3,8-Tri-O-methylellagic acid",C17H12O8
http://www.wikidata.org/entity/Q105182917,345.0604933,0,Wharangin,C17H12O8
http://www.wikidata.org/entity/Q105385278,344.2121238,0,"(1S,15R,16S,21R)-20-prop-2-enyl-4,14,20-triazahexacyclo[13.6.2.02,14.03,11.05,10.016,21]tricosa-2,4,6,8,10,12-hexaene",C23H25N3
http://www.wikidata.org/entity/Q111267536,344.1856343,0,Erythrococcamide A,C20H25NO4
http://www.wikidata.org/entity/Q111267537,344.1856343,0,Erythrococcamide A,C20H25NO4
http://www.wikidata.org/entity/Q111241300,344.1856343,0,"6-(7,8-dihydro-6H-[1,3]dioxolo[4,5-g]chromen-6-yl)-N-(2-methylpropyl)hexa-2,4-dienamide",C20H25NO4
http://www.wikidata.org/entity/Q104938367,344.1856343,0,Dyshomoerythrine,C20H25NO4
http://www.wikidata.org/entity/Q111242090,344.1856343,0,"(2E,4E)-N-[(2S)-butan-2-yl]-6-[(6R)-7,8-dihydro-6H-[1,3]dioxolo[4,5-g]chromen-6-yl]hexa-2,4-dienamide",C20H25NO4
http://www.wikidata.org/entity/Q105373254,344.1856343,0,"(6aR,9R,10S,10aR)-9,10-dihydroxy-6,6,9,12-tetramethyl-7,8,10,10a-tetrahydro-6aH-isochromeno[4,3-c]quinolin-11-one",C20H25NO4
http://www.wikidata.org/entity/Q105373256,344.1856343,0,"(6aR,9S,10S,10aR)-9,10-dihydroxy-6,6,9,12-tetramethyl-7,8,10,10a-tetrahydro-6aH-isochromeno[4,3-c]quinolin-11-one",C20H25NO4
http://www.wikidata.org/entity/Q104888671,344.1856343,0,Ribaliprenylene,C20H25NO4
